id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,off_camera,under_pressure,counterpress,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y,passing_accuracy
918b3c8b-9cc4-40f8-a982-c238d78242d7,1105,1,00:23:40.469,23,,45,Regular Play,Spain,Jordi Alba Ramos,Left Back,0.566939,3795220,5211,,,,0.8920527970365272,Complete,30486,Pedro González López,Ground Pass,Left Foot,69.124054,5.8081965,77.1,9.8,0.8 (85/106)
abf99a72-6a99-4baa-8666-55795b710a2f,1110,1,00:23:43.946,23,,45,Regular Play,Spain,Pedro González López,Left Center Midfield,0.870705,3795220,30486,,,,0.9190128453396772,Complete,5211,Jordi Alba Ramos,Ground Pass,Right Foot,70.78074,3.9486053,76.4,6.4,0.98 (61/62)
3075a065-2765-4a8f-8557-307fedf30d6d,1113,1,00:23:46.181,23,,45,Regular Play,Spain,Jordi Alba Ramos,Left Back,1.325343,3795220,5211,,,,0.8567438406374537,Complete,5199,Jorge Resurrección Merodio,High Pass,Left Foot,81.83684,13.268187,83.1,38.6,0.8 (85/106)
e58224b5-453a-4902-a464-18d2b24b601a,1116,1,00:23:48.301,23,,45,Regular Play,Spain,Jorge Resurrección Merodio,Right Center Midfield,0.588285,3795220,5199,,,,0.929636820610196,Complete,16532,Daniel Olmo Carvajal,Low Pass,Right Foot,83.71051,35.42345,83.5,35.7,0.91 (52/57)
a9bee631-c11c-4c16-8014-9494a2aa3f3b,1119,1,00:23:49.150,23,,45,Regular Play,Spain,Daniel Olmo Carvajal,Center Forward,1.656607,3795220,16532,,,,0.9683324931745072,Complete,3957,César Azpilicueta Tanco,Ground Pass,Right Foot,85.0228,38.171547,82.0,53.4,0.61 (30/49)
1d23571e-7233-4eae-8dbf-e28050600612,1122,1,00:23:52.310,23,,45,Regular Play,Spain,César Azpilicueta Tanco,Right Back,1.321554,3795220,3957,,,,0.9717251679599888,Complete,6685,Mikel Oyarzabal Ugarte,Ground Pass,Right Foot,92.35071,60.138435,100.0,72.2,0.87 (62/71)
8a0802bc-3e24-424d-a718-9c5a256d4dde,1125,1,00:23:55.314,23,,45,Regular Play,Spain,Mikel Oyarzabal Ugarte,Right Wing,1.243252,3795220,6685,,,,0.963226483923524,Complete,5203,Sergio Busquets i Burgos,Ground Pass,Left Foot,99.55168,68.922,92.3,53.2,0.83 (24/29)
a277e30d-9778-4d52-b840-af8ae2343da6,1129,1,00:23:59.415,23,,45,Regular Play,Spain,Sergio Busquets i Burgos,Center Defensive Midfield,1.351652,3795220,5203,,,,0.9621784093213972,Incomplete,5199,Jorge Resurrección Merodio,Ground Pass,Right Foot,100.97879,62.936615,100.4,51.3,0.93 (68/73)
4755054e-5b39-4c59-8023-5a4bb30c4b81,1134,1,00:24:04.176,24,,45,Regular Play,Spain,Eric García Martret,Right Center Back,1.180973,3795220,31953,,,,0.9955077545526508,Complete,4353,Aymeric Laporte,Ground Pass,Right Foot,72.50138,50.093727,64.4,36.9,0.97 (128/132)
61fc7a59-14bb-4f1e-a17c-13d617faeb08,1136,1,00:24:05.357,24,,45,Regular Play,Spain,Aymeric Laporte,Left Center Back,0.996077,3795220,4353,,,,0.9608763102548424,Complete,30486,Pedro González López,Ground Pass,Left Foot,64.6754,40.404556,73.0,41.0,0.93 (132/142)
c6b0a2d1-0965-4caa-9de3-f305b7a27d6a,1139,1,00:24:09.310,24,,45,Regular Play,Spain,Pedro González López,Left Center Midfield,2.306783,3795220,30486,,,,0.5011245117019251,Complete,5211,Jordi Alba Ramos,High Pass,Right Foot,80.2319,41.255505,101.7,8.3,0.98 (61/62)
31b3bd58-c02d-4b67-867a-7c955817a779,1142,1,00:24:11.724,24,,45,Regular Play,Spain,Jordi Alba Ramos,Left Back,1.259089,3795220,5211,,,,0.9751197296429728,Complete,6748,Ferrán Torres García,Ground Pass,Left Foot,101.93971,11.291701,100.6,22.8,0.8 (85/106)
25a043b8-daa8-4783-be13-a621b8684f14,1146,1,00:24:14.217,24,,45,Regular Play,Spain,Ferrán Torres García,Left Wing,0.807557,3795220,6748,,True,,0.9419711264295466,Complete,16532,Daniel Olmo Carvajal,Ground Pass,Right Foot,101.6303,27.63198,98.0,29.2,0.83 (20/24)
340614f0-6cf7-4db7-9ad8-14ffa55d46bd,1150,1,00:24:15.616,24,,45,Regular Play,Spain,Daniel Olmo Carvajal,Center Forward,2.102373,3795220,16532,,,,0.21187810927698547,Incomplete,,,High Pass,Right Foot,96.10709,34.968586,112.6,35.7,0.61 (30/49)
