id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
75786fc5-4e83-476d-a502-25b82c0fbab2,220,1,00:05:42.501,5,Recovery,12,Regular Play,Italy,Alessandro Bastoni,Left Center Back,0.313246,3788766,7480,,,0.034881090278111905,Incomplete,3166,Marco Verratti,Low Pass,Head,65.7,4.9,70.3,5.6
e99524d6-d00c-4024-8a38-1ddd68e96073,226,1,00:05:46.024,5,Recovery,13,Regular Play,Italy,Marco Verratti,Left Center Midfield,1.66399,3788766,3166,True,,0.9362832969527192,Complete,7024,Jorge Luiz Frello Filho,High Pass,Head,69.12649,7.1293697,57.4,7.9
122799f9-caae-4a0e-b809-4ed5152b405c,229,1,00:05:47.688,5,,13,Regular Play,Italy,Jorge Luiz Frello Filho,Center Defensive Midfield,1.228278,3788766,7024,True,,0.8087826306487254,Complete,4355,Emerson Palmieri dos Santos,Low Pass,Right Foot,58.481243,8.780263,61.3,1.9
d5e6c3b1-3f5b-48a6-96b6-1ad96ff5f6a5,233,1,00:05:48.977,5,,13,Regular Play,Italy,Emerson Palmieri dos Santos,Left Back,1.27631,3788766,4355,,,0.9788182446674992,Complete,7024,Jorge Luiz Frello Filho,Low Pass,Left Foot,59.61136,-0.20505318,45.3,1.7
e457cf7c-ef69-461d-a8dd-a089c6ba9738,236,1,00:05:53.645,5,,13,Regular Play,Italy,Jorge Luiz Frello Filho,Center Defensive Midfield,1.370265,3788766,7024,,,0.9612007066664804,Complete,11601,Matteo Pessina,Ground Pass,Right Foot,39.717617,11.521801,44.4,22.6
cba790dd-7409-455f-9a74-1fff1c566877,240,1,00:05:55.697,5,,13,Regular Play,Italy,Matteo Pessina,Right Center Midfield,1.262894,3788766,11601,True,,0.9829037847433596,Complete,7024,Jorge Luiz Frello Filho,Ground Pass,Left Foot,42.6593,35.5234,40.3,9.4
192430cc-15e2-41b2-965b-36e257f1b768,246,1,00:06:09.331,6,Free Kick,14,From Free Kick,Italy,Alessandro Bastoni,Left Center Back,2.210193,3788766,7480,,True,0.9510030994692412,Complete,7156,Federico Chiesa,Ground Pass,Right Foot,41.4,9.4,62.9,5.5
2be5b042-23ed-4f92-a4cf-e4651ec27050,248,1,00:06:11.653,6,,14,From Free Kick,Italy,Federico Chiesa,Left Wing,1.098717,3788766,7156,,,0.9761205626471045,Complete,4355,Emerson Palmieri dos Santos,Ground Pass,Right Foot,63.51382,8.209116,67.3,1.2
5b1db82f-94a3-4f93-8833-a50dee95c3b8,251,1,00:06:13.596,6,,14,From Free Kick,Italy,Emerson Palmieri dos Santos,Left Back,0.716299,3788766,4355,,,0.99310581473885,Complete,3166,Marco Verratti,Ground Pass,Left Foot,67.485374,2.65097,62.6,5.5
cdbf5f63-e832-4417-ae20-a2a8bb041216,254,1,00:06:15.280,6,,14,From Free Kick,Italy,Marco Verratti,Left Center Midfield,1.537124,3788766,3166,,,0.9844801976136496,Complete,7173,Leonardo Bonucci,Ground Pass,Right Foot,61.70014,12.863259,52.0,32.0
50914234-ae1b-421d-9e58-7c3b8953b926,257,1,00:06:18.349,6,,14,From Free Kick,Italy,Leonardo Bonucci,Right Center Back,2.226345,3788766,7173,,,0.9611700704388184,Complete,7002,Rafael Tolói,Ground Pass,Right Foot,55.554546,41.69517,72.5,75.0
67775100-fdb3-4033-9f72-3ea29fdf4fdd,260,1,00:06:21.943,6,,14,From Free Kick,Italy,Rafael Tolói,Right Back,0.765751,3788766,7002,,,0.926031260421902,Complete,7777,Federico Bernardeschi,Ground Pass,Right Foot,76.986984,72.66576,88.2,77.7
978f9d39-be72-4168-a019-45adcde53cf9,264,1,00:06:25.092,6,,14,From Free Kick,Italy,Federico Bernardeschi,Right Wing,1.26573,3788766,7777,True,,0.9791611469435154,Complete,7002,Rafael Tolói,Ground Pass,Left Foot,81.792435,76.69957,69.0,76.0
ad317f41-107b-4c7e-96ef-cecbe1bf0277,268,1,00:06:27.362,6,,14,From Free Kick,Italy,Rafael Tolói,Right Back,0.99775,3788766,7002,,,0.990474875064509,Complete,7173,Leonardo Bonucci,Ground Pass,Right Foot,63.995743,77.055786,55.5,60.5
54095f83-e61e-4413-ade7-2d25b47b0bbe,270,1,00:06:28.360,6,,14,From Free Kick,Italy,Leonardo Bonucci,Right Center Back,5.034778,3788766,7173,,,0.23173110122282814,Incomplete,7471,Andrea Belotti,High Pass,Right Foot,54.412064,60.264713,117.9,51.2
f6f89f14-e5b3-49e6-a87a-ffea5915838f,274,1,00:06:44.625,6,,14,From Free Kick,Wales,Danny Ward,Goalkeeper,3.005983,3788766,9914,,,0.1653153108976194,Complete,6399,Gareth Frank Bale,High Pass,Drop Kick,17.39301,45.908142,83.9,75.7
86ac7fcb-874a-4522-9800-5cd8401c68e6,278,1,00:06:54.089,6,Throw-in,15,From Throw In,Italy,Emerson Palmieri dos Santos,Left Back,2.900908,3788766,4355,,True,0.975114809231564,Complete,7480,Alessandro Bastoni,Low Pass,,16.4,0.1,9.5,19.9
e2d7bc99-a9ca-421b-8e2c-025566061bb6,280,1,00:06:57.334,6,,15,From Throw In,Italy,Alessandro Bastoni,Left Center Back,1.590052,3788766,7480,,,0.9853981532946341,Complete,7173,Leonardo Bonucci,Ground Pass,Right Foot,11.333283,22.17448,16.9,38.3
f349f50d-5827-4e2a-a553-90959323086d,283,1,00:07:04.303,7,,15,From Throw In,Italy,Leonardo Bonucci,Right Center Back,2.002015,3788766,7173,,,0.9856755956787115,Complete,7480,Alessandro Bastoni,Ground Pass,Right Foot,35.426674,39.638077,39.7,25.8
87c343f2-e43d-47df-9066-89f20f9475d3,286,1,00:07:10.435,7,,15,From Throw In,Italy,Alessandro Bastoni,Left Center Back,1.982765,3788766,7480,,,0.9868127293358504,Complete,7173,Leonardo Bonucci,Ground Pass,Left Foot,50.823147,27.411253,49.6,49.2
e88535ab-2f43-4cd6-998b-6cdf32eb4406,289,1,00:07:13.612,7,,15,From Throw In,Italy,Leonardo Bonucci,Right Center Back,1.794229,3788766,7173,,,0.9458364637687188,Complete,7002,Rafael Tolói,Ground Pass,Right Foot,52.481667,51.065628,72.5,76.0
ae9021be-a82e-4072-87c7-5d539a8b4e0e,293,1,00:07:16.448,7,,15,From Throw In,Italy,Rafael Tolói,Right Back,0.107738,3788766,7002,True,,0.012511476308211695,Incomplete,7777,Federico Bernardeschi,Ground Pass,Right Foot,74.229774,79.005226,72.5,77.4
d0282881-ce8e-435b-9922-d468855bf0df,296,1,00:07:45.605,7,Throw-in,16,From Throw In,Italy,Rafael Tolói,Right Back,2.909293,3788766,7002,,True,0.9719950550587716,Complete,7173,Leonardo Bonucci,Low Pass,,71.2,80.0,51.0,72.5
9dd223a1-8b29-46b0-9814-177999b353b5,298,1,00:07:51.113,7,,16,From Throw In,Italy,Leonardo Bonucci,Right Center Back,1.249036,3788766,7173,,,0.976106843220604,Complete,3166,Marco Verratti,Ground Pass,Right Foot,46.14639,55.10718,57.1,41.6
6386754a-e789-4f71-a200-6038ad6c36af,301,1,00:07:52.362,7,,16,From Throw In,Italy,Marco Verratti,Left Center Midfield,1.029092,3788766,3166,True,,0.9925174248233924,Complete,7173,Leonardo Bonucci,Ground Pass,Right Foot,55.666325,46.213203,40.4,47.9
03b6e49b-03b9-4b90-ad2c-b4ce8665c81f,304,1,00:07:56.346,7,,16,From Throw In,Italy,Leonardo Bonucci,Right Center Back,1.387893,3788766,7173,,,0.9525977419901632,Complete,11601,Matteo Pessina,Ground Pass,Right Foot,43.2059,49.757866,64.0,76.0
52ab8962-d378-445a-aebf-2f79af16e97f,306,1,00:07:57.733,7,,16,From Throw In,Italy,Matteo Pessina,Right Center Midfield,1.933781,3788766,11601,,,0.634535625685309,Complete,7777,Federico Bernardeschi,Low Pass,Left Foot,63.598255,76.24691,80.0,76.8
