id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,out,counterpress,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
30015321-ecb3-4857-84e7-4274c508f82c,2346,2,00:16:42.490,61,Recovery,125,From Throw In,Finland,Glen Kamara,Left Center Midfield,1.393241,3788742,13215,,,,,0.4029673394676713,Incomplete,9476,Teemu Pukki,High Pass,Head,12.2,69.5,23.9,69.5
f12512ee-3b34-4f34-9524-35b6add6b95a,2348,2,00:16:43.883,61,Interception,125,From Throw In,Denmark,Thomas Delaney,Left Center Midfield,1.893716,3788742,5527,,,,,0.2740666852988379,Complete,4447,Martin Braithwaite Christensen,High Pass,Head,97.2723,11.05504,103.4,6.2
b9519efb-8574-4a3d-90cf-bb7333ccbdf0,2351,2,00:16:46.974,61,,125,From Throw In,Denmark,Martin Braithwaite Christensen,Left Wing,1.165091,3788742,4447,,,,,0.9754761723471576,Complete,5527,Thomas Delaney,Ground Pass,Right Foot,98.70266,0.949455,92.2,4.9
9894af13-df62-459b-a8c5-7c2181ee764f,2355,2,00:16:48.923,61,,125,From Throw In,Denmark,Thomas Delaney,Left Center Midfield,2.292099,3788742,5527,True,,,,0.9560625677439148,Complete,5534,Simon Thorup Kjær,Ground Pass,Left Foot,85.97455,1.221794,65.7,23.9
1105552b-9345-4723-879d-69c61baf38e1,2358,2,00:16:52.085,61,,125,From Throw In,Denmark,Simon Thorup Kjær,Right Center Back,2.336004,3788742,5534,,,,,0.977230412905534,Complete,3570,Pierre-Emile Højbjerg,Ground Pass,Left Foot,66.66468,27.375732,67.9,56.1
654e8e05-8438-443e-8190-fae1816d53fc,2360,2,00:16:54.421,61,,125,From Throw In,Denmark,Pierre-Emile Højbjerg,Center Defensive Midfield,2.378665,3788742,3570,,,,,0.8965608673879164,Complete,6797,Daniel Wass,Ground Pass,Right Foot,67.9,56.1,83.8,73.2
3abfe31b-18bb-4911-bb48-d05ca779dc77,2364,2,00:16:59.734,61,,125,From Throw In,Denmark,Daniel Wass,Right Back,0.938278,3788742,6797,True,,,,0.8389083343956133,Incomplete,5536,Yussuf Yurary Poulsen,Ground Pass,Right Foot,86.0354,75.875824,95.4,76.4
22d3f23e-3dad-4b56-8fa6-2d5e63b32f67,2367,2,00:17:00.672,62,Interception,126,From Counter,Finland,Jere Juhani Uronen,Left Wing Back,0.336294,3788742,16550,True,,,True,0.3651908836379186,Complete,24321,Robin Lod,Ground Pass,Left Foot,25.366808,3.5565884,33.0,4.5
63bc0156-164b-40b5-86f0-76e2b0b476ec,2381,2,00:18:09.121,63,Free Kick,127,From Free Kick,Finland,"Daniel O""Shaughnessy",Left Center Back,5.286519,3788742,38196,,,,,0.4856374829353289,Out,9476,Teemu Pukki,High Pass,Left Foot,51.14882,12.258619,119.7,18.0
2c5e061a-9daa-4c1f-abfe-1573dd4d86a7,2383,2,00:18:27.756,63,Goal Kick,128,From Goal Kick,Denmark,Kasper Schmeichel,Goalkeeper,4.644515,3788742,3815,,True,,,0.475403806886139,Complete,4447,Martin Braithwaite Christensen,High Pass,Right Foot,7.0,44.1,63.7,16.7
a3922025-5e4d-4152-bf23-401305071ebf,2386,2,00:18:33.560,63,Recovery,128,From Goal Kick,Finland,Joona Toivio,Right Center Back,1.603192,3788742,26939,,,,,0.6889831904719854,Incomplete,16550,Jere Juhani Uronen,High Pass,Right Foot,53.266747,63.23753,67.2,59.8
ec79699d-4516-454f-84bc-96df8de55aa8,2388,2,00:18:35.163,63,Recovery,128,From Goal Kick,Denmark,Thomas Delaney,Left Center Midfield,1.300741,3788742,5527,,,,,0.9292620830591528,Complete,16554,Joakim Mæhle,Low Pass,Other,53.46063,20.263786,54.7,8.8
235f9ed9-ff55-4068-a000-fa27003079f1,2392,2,00:18:38.036,63,,128,From Goal Kick,Denmark,Joakim Mæhle,Left Back,1.656587,3788742,16554,True,,,,0.9853710828062612,Complete,8815,Jannik Vestergaard,Ground Pass,Right Foot,50.10669,10.93034,30.0,23.9
e40c1839-4207-4254-af2b-d6c3c52b613f,2395,2,00:18:41.295,63,,128,From Goal Kick,Denmark,Jannik Vestergaard,Right Center Back,1.661624,3788742,8815,,,,,0.9819846059833184,Complete,3959,Andreas Christensen,Ground Pass,Left Foot,34.03434,24.705486,35.7,59.5
cb1f8795-a231-41bd-84d1-419a5359bfd4,2398,2,00:18:44.092,63,,128,From Goal Kick,Denmark,Andreas Christensen,Left Center Back,1.278074,3788742,3959,,,,,0.9667568911289064,Complete,6797,Daniel Wass,Ground Pass,Right Foot,37.56191,53.03297,50.9,72.9
3faaaf95-d25a-4c21-ac4a-a3244bb55a98,2401,2,00:18:47.022,63,,128,From Goal Kick,Denmark,Daniel Wass,Right Back,1.419499,3788742,6797,,,,,0.43170148996605945,Incomplete,5536,Yussuf Yurary Poulsen,High Pass,Right Foot,52.85347,69.765175,79.1,67.9
f1052db7-1b03-450c-9029-af99bc8dbe61,2406,2,00:18:50.379,63,,129,Regular Play,Finland,"Daniel O""Shaughnessy",Left Center Back,2.30962,3788742,38196,True,,,,0.8462704012132958,Incomplete,13215,Glen Kamara,High Pass,Left Foot,39.84394,7.89541,45.4,26.8
fee607a6-241a-4421-a9e7-50396f1604ea,2412,2,00:18:56.207,63,,129,Regular Play,Finland,Jere Juhani Uronen,Left Wing Back,2.291425,3788742,16550,,,,,0.9529469315541209,Incomplete,13215,Glen Kamara,Ground Pass,Left Foot,51.47899,16.310862,57.1,43.1
b9024743-c8e4-4b54-a507-f0392365955e,2414,2,00:18:58.499,63,Recovery,130,Regular Play,Denmark,Joakim Mæhle,Left Back,1.061982,3788742,16554,,,,,0.9966667123483948,Complete,3570,Pierre-Emile Højbjerg,Ground Pass,Right Foot,63.58626,36.35908,61.9,43.5
