id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,counterpress,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
ab566f5e-832f-4a36-adc7-4f091984021a,1053,1,00:32:50.108,32,,59,From Throw In,Spain,César Azpilicueta Tanco,Right Back,1.742017,3788775,3957,,,,0.924867453509856,Incomplete,5199,Jorge Resurrección Merodio,Ground Pass,Right Foot,55.05638,61.96324,75.8,61.6
4ebf3981-5238-4b39-86c3-7608ed3513c8,1057,1,00:32:52.866,32,,60,Regular Play,Slovakia,Jakub Hromada,Left Center Midfield,1.421115,3788775,20002,,,,0.9734486486872987,Incomplete,16307,Róbert Mak,Ground Pass,Right Foot,50.015152,10.959181,62.9,6.4
2e097d4d-f5e8-4d1f-95d8-004830a5093d,1059,1,00:32:54.288,32,Interception,60,Regular Play,Spain,César Azpilicueta Tanco,Right Back,1.384548,3788775,3957,,,True,0.9416965614236644,Incomplete,6720,Pablo Sarabia García,Ground Pass,Left Foot,54.602,71.84885,62.5,76.1
3e94d383-a41c-430a-a3c2-1c521c757958,1064,1,00:32:56.059,32,,60,Regular Play,Slovakia,Jakub Hromada,Left Center Midfield,1.374575,3788775,20002,True,,,0.8434672526442097,Complete,16307,Róbert Mak,Ground Pass,Left Foot,61.47116,1.1463338,71.5,5.1
01c3cd0a-20a2-49d1-818e-945bd8109ffa,1067,1,00:32:57.968,32,,60,Regular Play,Slovakia,Róbert Mak,Left Wing,0.982157,3788775,16307,,,,0.9693532707598621,Complete,8967,Ondrej Duda,Ground Pass,Right Foot,74.14941,9.60216,74.5,15.5
23efb4a4-b10e-4657-9438-c70830a420db,1070,1,00:33:01.873,33,,60,Regular Play,Slovakia,Ondrej Duda,Center Forward,4.373885,3788775,8967,,,,0.3019811380939844,Incomplete,,,High Pass,Right Foot,72.706535,29.690975,109.1,68.0
d73f3dd1-a4b3-4e20-b616-297d2addca90,1071,1,00:33:06.247,33,Recovery,60,Regular Play,Spain,Jordi Alba Ramos,Left Back,3.027247,3788775,5211,,,,0.2928950631826324,Complete,6766,Gerard Moreno Balaguero,High Pass,Left Foot,11.0,12.1,47.5,5.7
2c387ba1-8202-44b0-8fe3-ca22982828a1,1076,1,00:33:12.981,33,,60,Regular Play,Spain,Gerard Moreno Balaguero,Left Wing,0.309656,3788775,6766,True,,,0.26335323079531303,Incomplete,,,Ground Pass,Right Foot,63.6,4.9,64.9,9.4
a3be179b-036a-4e62-8a27-3cd8fe666b3c,1079,1,00:33:15.208,33,,61,Regular Play,Slovakia,Peter Pekarík,Right Back,0.589799,3788775,9722,,,,0.9886130634765472,Complete,7025,Marek Hamšík,Ground Pass,Right Foot,69.61925,71.640175,72.4,64.1
603acfc2-8fb6-4129-b8fe-a834941b84f2,1082,1,00:33:17.157,33,,61,Regular Play,Slovakia,Marek Hamšík,Center Attacking Midfield,1.162363,3788775,7025,,,,0.9926588266109702,Complete,10919,Juraj Kucka,Ground Pass,Right Foot,69.724655,60.882526,60.8,41.0
