id,index,period,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,counterpress,off_camera,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
cb0f384c-8a69-44ea-8ad0-0d40d4fc026a,570,1,16,Goal Kick,36,From Goal Kick,Scotland,David Marshall,Goalkeeper,3.332285,3788748,9645,,,,0.265285360439922,Incomplete,29571,Lyndon Dykes,High Pass,Right Foot,6.0,44.0,78.5,56.4
e05c0185-1f2e-49a6-bc8e-583d5293dc0a,573,1,16,Recovery,36,From Goal Kick,Czech Republic,Tomáš Kalas,Left Center Back,0.583525,3788748,13197,True,,,0.4287084819559677,Complete,8579,Vladimír Darida,High Pass,,42.24004,30.03572,55.6,25.0
d4f7261c-8948-4423-a9e6-97f6c39ad571,576,1,16,,36,From Goal Kick,Czech Republic,Vladimír Darida,Center Attacking Midfield,2.346348,3788748,8579,,,,0.7956070922002461,Incomplete,16472,Lukáš Masopust,High Pass,Left Foot,55.17132,26.810287,51.8,51.2
2b2abfb2-2f83-42c1-8ef6-c81ba327c320,581,1,16,,36,From Goal Kick,Scotland,Stuart Armstrong,Left Center Midfield,0.890048,3788748,10285,True,,,0.9004002736354009,Complete,3655,Andrew Robertson,Low Pass,Left Foot,68.364174,33.027077,67.9,14.1
650b52ba-1181-407c-980a-20da2f65d157,585,1,16,,36,From Goal Kick,Scotland,Andrew Robertson,Left Wing Back,0.924207,3788748,3655,,,,0.9941256963648908,Complete,10285,Stuart Armstrong,Ground Pass,Left Foot,73.218445,15.271936,64.1,3.9
fab8e5d6-c6a7-4a8e-aa94-9a10f53ca6cf,588,1,16,,36,From Goal Kick,Scotland,Stuart Armstrong,Left Center Midfield,2.388286,3788748,10285,,,,0.9785335775288428,Complete,9621,Liam Cooper,Ground Pass,Left Foot,65.35826,8.776946,42.9,22.2
8df3d6bc-4c8e-434d-86d1-23c620c18724,591,1,16,,36,From Goal Kick,Scotland,Liam Cooper,Left Center Back,1.261647,3788748,9621,,,,0.9881893104906991,Complete,9481,Grant Hanley,Ground Pass,Left Foot,45.054718,26.839497,43.1,47.8
4df2b865-9772-4675-ae1a-96a2532c8356,594,1,16,,36,From Goal Kick,Scotland,Grant Hanley,Center Back,1.315861,3788748,9481,,,,0.9932613345604075,Complete,11116,Jack Hendry,Ground Pass,Right Foot,48.192806,50.523315,42.7,65.5
193d17cd-2318-40b6-ae67-bfb99fbdcc44,597,1,16,,36,From Goal Kick,Scotland,Jack Hendry,Right Center Back,2.051763,3788748,11116,,,,0.9879051794461584,Complete,9645,David Marshall,Ground Pass,Right Foot,31.648638,70.11807,8.5,51.1
daf9afe9-fa4e-490d-ab52-11ea1aea4058,600,1,16,,36,From Goal Kick,Scotland,David Marshall,Goalkeeper,2.380962,3788748,9645,,,,0.9693099276947994,Complete,9621,Liam Cooper,Ground Pass,Right Foot,8.681929,51.789448,21.6,22.6
