id,index,period,timestamp,minute,type,possession,play_pattern,team,player,position,duration,match_id,player_id,under_pressure,off_camera,counterpress,out,likelihood,outcome,recipient_id,recipient_name,height,body_part,location_x,location_y,location_end_x,location_end_y
da685383-b5e4-4c19-a36a-eaa0755e3643,3478,2,00:44:59.916,89,Recovery,126,Regular Play,Spain,Thiago Alcântara do Nascimento,Center Defensive Midfield,1.124686,3788750,5208,,,,,0.8489647046276605,Incomplete,6655,Fabián Ruiz Peña,Ground Pass,Right Foot,95.36908,51.782925,104.2,41.2
3b12ea41-f442-4c3e-9bcd-3c1b3a43c9aa,3483,2,00:45:06.401,90,,126,Regular Play,Spain,Unai Simón Mendibil,Goalkeeper,1.398255,3788750,11748,,,,,0.9592377724428556,Complete,6892,Pau Francisco Torres,Ground Pass,Right Foot,44.6,40.9,56.9,35.1
89e15a0d-1653-4947-993d-39c56a234c86,3486,2,00:45:09.885,90,,126,Regular Play,Spain,Pau Francisco Torres,Left Center Back,1.549133,3788750,6892,,,,,0.9474402112109068,Complete,30486,Pedro González López,Ground Pass,Right Foot,59.644558,30.19137,71.0,19.6
c0915886-e88f-4112-889d-ec5aa9cf3c96,3489,2,00:45:13.772,90,,126,Regular Play,Spain,Pedro González López,Left Center Midfield,0.955274,3788750,30486,,,,,0.9161101207176552,Complete,6685,Mikel Oyarzabal Ugarte,Ground Pass,Right Foot,77.90104,17.513668,91.1,14.5
9a88154b-5869-4d5d-8381-7bc656213ee0,3496,2,00:45:17.928,90,,126,Regular Play,Spain,Mikel Oyarzabal Ugarte,Left Wing,1.319467,3788750,6685,,,,,0.7918823837485681,Complete,5211,Jordi Alba Ramos,Ground Pass,Left Foot,100.05493,26.036526,109.4,19.9
ac1efc4d-4a71-4571-a61b-8d06d8ae0092,3499,2,00:45:20.111,90,,126,Regular Play,Spain,Jordi Alba Ramos,Left Back,0.719231,3788750,5211,,,,,0.408921281380114,Incomplete,6766,Gerard Moreno Balaguero,High Pass,Left Foot,110.90308,18.517075,111.1,35.1
61f2aa53-24fc-4984-86a5-8ba252fd88d4,3503,2,00:45:22.673,90,Recovery,126,Regular Play,Spain,Thiago Alcântara do Nascimento,Center Defensive Midfield,3.40382,3788750,5208,True,,,,0.15838824055474124,Incomplete,,,High Pass,,102.8635,39.033955,114.4,55.2
1625de60-4809-4734-ad0e-a6233937d993,3505,2,00:45:45.132,90,,126,Regular Play,Sweden,Robin Olsen,Goalkeeper,4.288981,3788750,5622,,True,,,0.2697999280695237,Incomplete,,,High Pass,Drop Kick,15.5,37.1,80.2,37.1
55d56872-02e6-4a9c-94a7-d1fbb6db7001,3507,2,00:45:50.884,90,,126,Regular Play,Spain,Aymeric Laporte,Right Center Back,1.454027,3788750,4353,,,,,0.9750256332770524,Complete,6840,Marcos Llorente Moreno,Ground Pass,Left Foot,40.6604,47.74181,51.8,70.0
e0fbe770-f609-4256-8474-9a036e04625c,3510,2,00:45:54.882,90,,126,Regular Play,Spain,Marcos Llorente Moreno,Right Back,0.964381,3788750,6840,,,,,0.9774383776290012,Complete,6720,Pablo Sarabia García,Ground Pass,Right Foot,61.24842,67.78235,65.2,76.9
